tweet_id,date,username,text,likes,retweets,replies,keyword,lang
2040567293122597265,Sat Apr 04 23:08:49 +0000 2026,shrimpingbae,"sumpah kalo sampe itu anggota TNI ga dikasih sanksi apa-apa negara ini beneran kepalang ancur, KONVOI aja lo bisa bunuh orang? mati aja gamau cacing tanah makan lu anjing ya allah itu keluarganya gimana........",0,0,0,mati aja lo,in
2041008128729440434,Mon Apr 06 04:20:32 +0000 2026,xeyobog202,"Gada tuh cerita pamer-pamer kekayaan di sini. Makan, maen padel/basket/mini soccer, sampe pijet ++, semua split bill.

Lo temenan bertahun-tahun rutin ngopi bareng kaga ada yang flexing jabatannya.

Temen gua anak Surabaya? Baru jadi manajer di BUMN gurem aja sombong 1/2 mati 🤣",0,0,0,mati aja lo,in
2041160113545941279,Mon Apr 06 14:24:28 +0000 2026,LusyBule88,@tham878 Emaklo goblok idiot..termul...mati aja lo,0,0,0,mati aja lo,in
2040652575511654902,Sun Apr 05 04:47:42 +0000 2026,DhiekaSetyawan,"@phamsaurus @AmirahWahdi Lah ada yg jawabin, gw jawabin lagi. Trus hrs gmn?

Mati? Elo aja duluan, kynyq lo yg ga guna.",0,0,0,mati aja lo,in
2039539456710148396,Thu Apr 02 03:04:33 +0000 2026,sleepycatzzz_,"Gimanapun baiknya lo kalau orang emang ga seneng sama kita tuh emang susah tetap aja dia ga bakal seneng
Jadi ya udah biarin aja nanti juga bakal mati sendiri",0,0,0,mati aja lo,in
2040202733807100360,Fri Apr 03 23:00:11 +0000 2026,mrdapidd,"@Alaynainside @dispandux @Feryart7 @Dropeighteeens @misogenie_ emang najis ni kaum"" lgbt, mati aja lo kaum lgbt",1,0,1,mati aja lo,in
2039549358576894298,Thu Apr 02 03:43:54 +0000 2026,gekkedromer,"@tanyarlfes Idc actually mau lo ngisep sejam satu slop jg bodo amat mau lo mati jg bodo amat yang ngga disukai itu kalo ngerokok ga ditempatnya, pas naik motor. Paling kesel kalo ada orang ngerokok di ruang publik yang bukan are khusus merokok ajggg lu telen aja asepnya ajg",0,0,0,mati aja lo,in
2039914071097827504,Fri Apr 03 03:53:08 +0000 2026,soobenth_,"Drama bat najis bumer begog. Kek mati bakal ninggalin warisan banyak aja lo njir. Anak noh diurusin, siapa sangka selama ini sering ngaku ke keluarganya lembur nyatanya lgi ngemong selingkuhan. Emg bajingan https://t.co/05IeXsTvjP",0,0,0,mati aja lo,in
2039695153494217101,Thu Apr 02 13:23:14 +0000 2026,hwayoung1ee,"Kalo stan kpop bikin lo jadi jahat, gue saranin ngestan wali aja, biar lo ingat mati ingat sakit ingatlah saat kau sulit ingat ingat hidup cuma satu kali🥰",0,0,0,mati aja lo,in
2041067607131119973,Mon Apr 06 08:16:53 +0000 2026,awarman06,@YuriOnlyAcc @NanamiChalichia Garbage ? Uda pernah tinggal di luar negeri ? Tau di cina main game dibatasi 3 jam seminggu ? Gak bayar pajak bisa du sita asset kalau di us? Lo kalo gak bangga.. beneran deh beban kayak elo mati aja ato keluar dari negeri ini. Gak bakal ada efeknya .. dah lapor spt ?,0,0,0,mati aja lo,in
2041177243293188246,Mon Apr 06 15:32:32 +0000 2026,kpankcb,"@feravrie kok sedih? kan ga tmnan jga gabuat lo mati kepalaran atau skripsi lo yg tbtb selesai, sok sokan sdih kek punya perasaan aja",0,0,0,mati aja lo,in
2040279114574364859,Sat Apr 04 04:03:42 +0000 2026,h0lydrugs,"ga seberapa muka lu noh ga seberapa, emangnya lu udh pernah menstruasi? kontol lu keluar darah setiap bulan? sotoy bnget anjing, baru demam ga seberapa aja dah mau mati alay lo sender monyetttt",0,0,0,mati aja lo,in
2040124962581921971,Fri Apr 03 17:51:09 +0000 2026,jocoolee,"@ciestalkingg RILLLLL SIAPE ELO SUMPEEEEHHH siape gw jg siapa kt semua untuk merasa punya hak lebih besar dr org lain 😭😭😭 masih sama2 manusia, masih sama2 berdosa udh lah gausah benci2 an org Tuhan lo aja mati buat mereka masa kita sok2an mau lebih tinggi???🙏🙏🙏",0,0,0,mati aja lo,in
2041088380931633473,Mon Apr 06 09:39:26 +0000 2026,pinksoulstuff,@av0ceans Emang gue perduli akun gue mau gimana meurut kelean para LGBT rendahan ini? Noh para lesbi aja bilang hijaban tapi lesbi gkpapa kok gue mau pinky tapi anti lesbi gaboleh? Lawakkk mati aja lo lesbi nih pink nih 😋💅🏻💅🏻💖💞💕🎀🎀🎀🎀🎀🩷💝,0,0,0,mati aja lo,
2040983195962036308,Mon Apr 06 02:41:28 +0000 2026,raynerdzs,"dang lo pikir dokter sama perawat gabutuh duit kah? gaada hal yang perlu dibeli, gaperlu makan biar mereka mati aja saking capeknya di rs, segala macem. iya?",0,0,0,mati aja lo,in
2040248921294016724,Sat Apr 04 02:03:43 +0000 2026,dippapuu,"Semoga dijauhkan dari cowo yang mikir kl vasek bisa celap celup, bisa sex tanpa hamilin cewe, blm nikah udah kepikiran kl istrinya mati duluan, nanti mau nikah lagi, mau cari istri baru.

Pede bgt bgst ada yg mau, kontol lo pd burik. Hidup jgn sebatas nafsu sama ngewe aja tot.",0,0,0,mati aja lo,in
2039192398178492422,Wed Apr 01 04:05:28 +0000 2026,ayikmuhammad95,@daulisious @JalanArsenal cuma sepakbola uda sekasar ini🤣 city lo itu kalo lo mati mereka ga peduli bahkan ga tau kalo lo hidup🤣 jgb terlalu fanatik ke sesuatu yg mereka tau lo hidup aja engga🤣🤣,0,0,0,mati aja lo,in
2039167487036752342,Wed Apr 01 02:26:29 +0000 2026,naraberpasrah,"Kuliah mah realistis aja. Ujungnya lo belajar buat survive, ntah jurusannya lo suka atau engga. Tetep aja somehow lo ngerasa mau mati ngejalaninnya.",0,0,0,mati aja lo,in
2040418933061345761,Sat Apr 04 13:19:17 +0000 2026,Piter_Kastangel,"Liat postingan ini aja tangan gw langsung gemeteran parah 😭😨

Soalnya Gw punya trauma akut sama jarum suntik 😅

Hidup sebagai orang takut jarum itu susah banget. Lo gak boleh sakit berat, apalagi masuk RS. Bayangin aja harus diinfus atau diambil darah… mending mati aja deh wkwkkw

Fun fact: Sepanjang hidup, gw belum pernah sekalipun dirawat di RS karena sakit.

Dan salah satu motivasi terkuat gw hidup sehat itu… takut ketemu jarum suntik",0,0,0,mati aja lo,in
2043352718820180031,Sun Apr 12 15:37:06 +0000 2026,beantify,"@MastinSaurus @sampahfhui dasar manusia otak cacat logika. mati aja lo, dasar para sampah masyarakat!",0,0,0,mati aja lo,in
2041369229283430421,Tue Apr 07 04:15:25 +0000 2026,icelalopyu,"Ya klo gamau minum obat udh pasti mati cepet, disuruh minum obat untuk stabil. Berdamai sma diri sendiri hidup harus berdampingan sama obat itu emg sulit. Tp sadar diri aja klo pola makan lo jorok terosss ya susah.",0,0,0,mati aja lo,in
2042738755942125627,Fri Apr 10 22:57:26 +0000 2026,hafizhalfi28,"""Kamu harus belajar hemat""
Mati aja lo semua",0,0,0,mati aja lo,in
2041709483005767685,Wed Apr 08 02:47:28 +0000 2026,caplosainz,"orang tuh kalo dibilang A plis ngerti aja gitu, paham udah, titik. it’s not your right juga, bukan yang lo abis kerja keras banget banget juga. udah sih, emang mati apa ya kalo ngga makan itu",0,0,0,mati aja lo,in
2042093166481035752,Thu Apr 09 04:12:05 +0000 2026,herebanky,"Yvonne: kata lo enak ini atau ini? (Nunjukkin dried seaweed dan jamur yang putih - lions mane?)
Saya: saya lagi meeting internal Kak
Yvonne: tunjuk aja
Saya: (tunjuk dua-duanya)
Yvonne: cari mati ni anak
Saya: memang beracun?!
Yvonne: gw beracun, toxic gw, poisonous
Saya: ???!?!?",0,0,0,mati aja lo,in
